t,container,cpu_percent_of_one_core,mem_bytes,mem_percent_of_limit,pids
1790111438.279,research-postgres,2.15,119118233.6,11.09,32
1790111438.279,research-redis,1.27,7991197.696,1.49,8
1790111442.455,swift-order-service,0.3,10026483.712,0.93,70
1790111442.455,swift-product-service,10.63,17626562.56,1.64,78
1790111442.455,swift-user-service,14.12,21265121.28,1.98,79
1790111442.455,research-postgres,0.0,119432806.4,11.12,32
1790111442.455,research-redis,1.21,7667187.712,1.43,8
1790111446.624,swift-order-service,0.3,9555673.088,0.89,70
1790111446.624,swift-product-service,8.34,17448304.64,1.63,78
1790111446.624,swift-user-service,12.69,21223178.24,1.98,79
1790111446.624,research-postgres,0.5,119537664.0,11.13,32
1790111446.624,research-redis,1.48,8109686.784,1.51,8
1790111450.786,swift-order-service,0.31,9518972.928,0.89,70
1790111450.786,swift-product-service,6.56,17878220.8,1.66,78
1790111450.786,swift-user-service,9.45,21820866.56,2.03,79
1790111450.786,research-postgres,0.0,119223091.2,11.10,32
1790111450.786,research-redis,1.04,7720665.088,1.44,8
1790111454.961,swift-order-service,0.28,9506390.016,0.89,70
1790111454.961,swift-product-service,5.78,17825792.0,1.66,78
1790111454.961,swift-user-service,6.94,21328035.84,1.99,79
1790111454.961,research-postgres,0.57,119642521.6,11.15,32
1790111454.961,research-redis,1.23,7524581.376,1.40,8
1790111459.143,swift-order-service,0.29,9568256.0,0.89,70
1790111459.143,swift-product-service,2.63,17846763.52,1.66,78
1790111459.143,swift-user-service,2.98,21328035.84,1.99,79
1790111459.143,research-postgres,2.11,120271667.2,11.20,32
1790111459.143,research-redis,2.61,7578058.752,1.41,8
