t,container,cpu_percent_of_one_core,mem_bytes,mem_percent_of_limit,pids
1790095189.868,swift-order-service,0.09,9199157.248,0.86,70
1790095189.868,swift-product-service,0.1,11534336.0,1.07,70
1790095189.868,swift-user-service,150.43,37685821.44,3.51,80
1790095189.868,research-postgres,3.03,109261619.2,10.18,29
1790095189.868,research-redis,0.75,39604715.52,7.38,8
1790095194.000,swift-order-service,0.1,9196011.52,0.86,70
1790095194.000,swift-product-service,0.1,11534336.0,1.07,70
1790095194.000,swift-user-service,148.68,38084280.32,3.55,79
1790095194.000,research-postgres,0.98,108947046.4,10.14,29
1790095194.000,research-redis,0.93,39919288.32,7.43,8
1790095198.190,swift-order-service,0.13,9196011.52,0.86,69
1790095198.190,swift-product-service,0.19,10999562.24,1.02,69
1790095198.190,swift-user-service,149.08,39048970.24,3.64,79
1790095198.190,research-postgres,2.1,109261619.2,10.17,29
1790095198.190,research-redis,0.67,39814430.72,7.42,8
1790095202.367,swift-order-service,0.07,9518972.928,0.89,70
1790095202.367,swift-product-service,1.42,11020533.76,1.03,70
1790095202.367,swift-user-service,150.3,39374028.8,3.67,79
1790095202.367,research-postgres,2.01,109051904.0,10.15,29
1790095202.367,research-redis,0.54,39940259.84,7.44,8
1790095206.552,swift-order-service,0.1,9514778.624,0.89,70
1790095206.552,swift-product-service,0.12,11020533.76,1.03,70
1790095206.552,swift-user-service,149.64,43830476.8,4.08,86
1790095206.552,research-postgres,1.41,109471334.4,10.20,29
1790095206.552,research-redis,0.68,39436943.36,7.35,8
1790095210.733,swift-order-service,0.06,9776922.624,0.91,70
1790095210.733,swift-product-service,0.08,11020533.76,1.03,70
1790095210.733,swift-user-service,148.45,42425384.96,3.95,80
1790095210.733,research-postgres,2.52,109261619.2,10.18,29
1790095210.733,research-redis,0.36,39436943.36,7.34,8
1790095214.944,swift-order-service,0.03,9772728.32,0.91,70
1790095214.944,swift-product-service,0.33,11272192.0,1.05,70
1790095214.944,swift-user-service,147.03,43998248.96,4.10,80
1790095214.944,research-postgres,3.47,109576192.0,10.20,29
