t,container,cpu_percent_of_one_core,mem_bytes,mem_percent_of_limit,pids
1790112683.095,java-user-service,32.82,431593881.6,40.19,47
1790112683.095,research-postgres,0.55,150260940.8,13.99,49
1790112683.095,research-redis,0.47,7671382.016,1.43,8
1790112687.250,java-order-service,3.05,282171801.6,26.28,38
1790112687.250,java-product-service,4.75,361024716.8,33.62,43
1790112687.250,java-user-service,52.73,430545305.6,40.10,47
1790112687.250,research-postgres,0.71,150260940.8,14.00,49
1790112687.250,research-redis,0.62,7593787.392,1.41,8
1790112691.414,java-order-service,0.87,282276659.2,26.28,38
1790112691.414,java-product-service,5.64,364380160.0,33.94,43
1790112691.414,java-user-service,72.86,430755020.8,40.12,47
1790112691.414,research-postgres,2.21,149422080.0,13.92,49
1790112691.414,research-redis,0.8,7548698.624,1.41,8
1790112695.584,java-order-service,5.86,282486374.4,26.31,38
1790112695.584,java-product-service,3.89,359346995.2,33.47,43
1790112695.584,java-user-service,1.37,429706444.8,40.02,47
1790112695.584,research-postgres,0.11,149631795.2,13.94,49
1790112695.584,research-redis,1.13,7552892.928,1.41,8
1790112699.752,java-order-service,1.99,283115520.0,26.36,38
1790112699.752,java-product-service,4.42,358927564.8,33.43,43
1790112699.752,java-user-service,1.87,429391872.0,39.99,47
1790112699.752,research-postgres,2.31,150156083.2,13.98,49
1790112699.752,research-redis,0.92,7790919.68,1.45,8
1790112703.919,java-order-service,1.69,282800947.2,26.34,38
1790112703.919,java-product-service,1.91,358822707.2,33.42,43
1790112703.919,java-user-service,2.57,428448153.6,39.90,47
1790112703.919,research-postgres,0.35,150156083.2,13.98,49
1790112703.919,research-redis,0.59,8012169.216,1.49,8
1790112708.100,java-order-service,1.96,282905804.8,26.35,38
1790112708.100,java-product-service,2.81,358927564.8,33.42,43
1790112708.100,java-user-service,13.31,432223027.2,40.25,47
1790112708.100,research-postgres,0.09,150470656.0,14.01,49
1790112708.100,research-redis,0.67,8191475.712,1.53,8
