scenario,config,metric,n,median,iqr,note
spike,boot-t200,probe_p50_ms,5,5.7065,0.1035,"Control-plane probe median, identical instrumentation on both stacks"
spike,boot-t200,probe_p95_ms,5,10.3972,0.2615,"Control-plane probe 95th percentile, identical instrumentation on both stacks"
spike,boot-t200,probe_p99_ms,5,15.2020,3.1480,"Control-plane probe 99th percentile, identical instrumentation on both stacks"
spike,boot-t64,cpu_mean_percent_of_one_core,5,46.9605,0.7758,"Mean CPU, percent of one core, summed over the three containers; the quota is 450"
spike,boot-t64,gc_pause_count,5,95.0000,22.0000,Garbage-collection pauses during the window (JVM only)
spike,boot-t64,gc_pause_total_seconds,5,0.5790,0.2100,Total garbage-collection pause time in seconds (JVM only)
spike,boot-t64,tomcat_busy_threads_median,5,1.0000,0.0000,"Busy Tomcat threads, steady state (JVM only)"
spike,boot-t64,tomcat_busy_threads_peak,5,12.0000,4.0000,"Busy Tomcat threads, peak (JVM only)"
spike,boot-t64,db_pool_pending_median,5,0.0000,0.0000,"Threads waiting for a database connection, steady state (JVM only)"
spike,boot-t64,db_pool_pending_peak,5,0.0000,0.0000,"Threads waiting for a database connection, peak (JVM only)"
spike,boot-t64,db_wait_mean_ms,5,23.4389,7.8347,"Mean time to acquire a database connection, milliseconds (JVM only)"
spike,boot-t64,probe_p50_ms,5,5.8825,0.1285,"Control-plane probe median, identical instrumentation on both stacks"
spike,boot-t64,probe_p95_ms,5,10.4082,0.4027,"Control-plane probe 95th percentile, identical instrumentation on both stacks"
spike,boot-t64,probe_p99_ms,5,14.2553,2.8112,"Control-plane probe 99th percentile, identical instrumentation on both stacks"
spike,boot-vt,cpu_mean_percent_of_one_core,5,43.7889,1.4649,"Mean CPU, percent of one core, summed over the three containers; the quota is 450"
spike,boot-vt,gc_pause_count,5,125.0000,24.0000,Garbage-collection pauses during the window (JVM only)
spike,boot-vt,gc_pause_total_seconds,5,0.5700,0.0670,Total garbage-collection pause time in seconds (JVM only)
spike,boot-vt,db_pool_pending_median,5,0.0000,0.0000,"Threads waiting for a database connection, steady state (JVM only)"
spike,boot-vt,db_pool_pending_peak,5,0.0000,0.0000,"Threads waiting for a database connection, peak (JVM only)"
spike,boot-vt,db_wait_mean_ms,5,0.7275,10.3449,"Mean time to acquire a database connection, milliseconds (JVM only)"
spike,boot-vt,probe_p50_ms,5,5.8725,0.0360,"Control-plane probe median, identical instrumentation on both stacks"
spike,boot-vt,probe_p95_ms,5,10.7745,0.1372,"Control-plane probe 95th percentile, identical instrumentation on both stacks"
spike,boot-vt,probe_p99_ms,5,14.9872,3.4902,"Control-plane probe 99th percentile, identical instrumentation on both stacks"
soak,vapor,cpu_mean_percent_of_one_core,5,35.8222,1.6295,"Mean CPU, percent of one core, summed over the three containers; the quota is 450"
soak,vapor,probe_p50_ms,5,2.9465,0.0280,"Control-plane probe median, identical instrumentation on both stacks"
soak,vapor,probe_p95_ms,5,5.7264,0.0420,"Control-plane probe 95th percentile, identical instrumentation on both stacks"
