run_id,config,scenario,repetition,target,k6_returncode,server_metrics_incomplete,k6_wall_seconds,window_seconds,finished_iso,iterations,vus_max,error_count,server_request_count,probe_samples,probe_failures,cpu_quota_percent,tomcat_threads_max_config,db_pool_active_peak,swift_rss_internal_bytes,server_throughput_p90_rps,client_p50_ms,client_p95_ms,client_p99_ms,client_max_ms,server_p50_ms,server_p95_ms,server_p99_ms,server_mean_ms,throughput_rps,requests_total,error_rate,rss_peak_bytes,rss_steady_bytes,cpu_mean_percent_of_one_core,jvm_heap_used_steady_bytes,jvm_heap_used_peak_bytes,jvm_heap_committed_steady_bytes,jvm_heap_committed_peak_bytes,gc_pause_count,gc_pause_total_seconds,tomcat_busy_threads_median,tomcat_busy_threads_peak,db_pool_pending_median,db_pool_pending_peak,db_wait_mean_ms,probe_p50_ms,probe_p95_ms,probe_p99_ms,k6_cpu_mean_percent_of_one_core,k6_cpu_peak_percent_of_one_core,k6_rss_peak_bytes,server_throughput_peak_rps,ep_get_users_p95_ms,ep_get_products_p95_ms,ep_post_users_p95_ms,ep_post_orders_p95_ms
boot-vt_spike_rep4,boot-vt,spike,4,java,0,0,150.97701692581177,152.81439781188965,2026-09-23T03:07:32,32649.0,200.0,0.0,65308.0,873,0,450.0,,0.0,,990.0,2.754,13.800449999999993,21.407209999999996,225.74,1.150279606252902,6.5042021311326845,12.787964813333321,2.1582856228486555,433.82476798599896,65298.0,0.0,1107191398.4,1095552204.8000002,43.36108108108108,77517320.0,140224120.0,120586240.0,149946368.0,131.0,0.619,,,0.0,0.0,10.884124936373276,5.889,10.880999999999998,17.506159999999962,13.733138803992027,29.49604528915448,128761856.0,1006.2,16.706399999999995,8.875399999999994,,
boot-vt_spike_rep5,boot-vt,spike,5,java,0,0,150.88646292686462,152.7313380241394,2026-09-23T04:59:56,32819.0,200.0,0.0,65648.0,879,0,450.0,,1.0,,1006.24,2.286,11.384449999999992,18.520889999999998,37.021,0.9629477513421539,5.273011816242191,10.559023327596883,1.6590436765324155,436.3301579841166,65638.0,0.0,1113692569.6,1090623897.6,43.788918918918924,77321368.0,110781304.0,122683392.0,131072000.0,125.0,0.57,,,0.0,0.0,0.48148074673913044,5.853,10.380799999999995,13.89422,13.373844671697299,26.87454846649181,126566400.0,1007.2,13.517099999999997,7.011099999999999,,
vapor_spike_rep1,vapor,spike,1,swift,0,0,150.8280520439148,152.7102780342102,2026-09-22T23:44:11,32355.0,200.0,0.0,64720.0,888,0,450.0,,,55255040.0,966.52,4.556,15.866549999999997,41.67000999999999,149.571,2.6989538472906403,9.0507476336,22.045176129771054,3.879077381783066,430.4486110013352,64710.0,0.0,50794070.016,48375005.184,71.46756756756758,,,,,,,,,,,,3.037,7.2623999999999995,11.62211,12.833005762585707,26.57790674892686,128401408.0,986.2,19.377799999999993,12.037499999999993,,
vapor_spike_rep2,vapor,spike,2,swift,0,0,151.05997705459595,154.79348278045654,2026-09-23T01:47:37,32428.0,200.0,0.0,64866.0,891,0,450.0,,,55222272.0,974.0,4.293,15.533249999999997,43.05374999999999,97.044,2.6266885809935205,8.761986710492698,20.263464405084633,3.774920256837172,430.9678838554577,64856.0,0.0,50165972.992,48026877.95199999,69.825,,,,,,,,,,,,2.994,6.1785,11.671700000000044,12.460981133952272,27.047089632188026,128040960.0,993.8,19.222299999999997,12.19,,
vapor_spike_rep3,vapor,spike,3,swift,0,0,150.86039972305298,152.75380992889404,2026-09-23T02:35:24,32478.0,200.0,0.0,64966.0,888,0,450.0,,,54665216.0,971.26,4.323,13.738249999999997,31.190449999999988,86.367,2.6186591768538037,8.02760920617414,14.684462929074028,3.526055352907674,432.0109642834423,64956.0,0.0,50025463.808,47634710.528,71.85594594594595,,,,,,,,,,,,3.0655,6.779499999999999,12.30956,12.971384796348762,26.462695259647013,129515520.0,988.2,16.575149999999997,11.027,,
vapor_spike_rep4,vapor,spike,4,swift,0,0,150.85784912109375,152.7286250591278,2026-09-23T03:23:04,32436.0,200.0,0.0,64882.0,888,0,450.0,,,55894016.0,973.18,4.276,14.728899999999994,40.27333999999992,127.432,2.581140814814815,8.38132447287261,18.842392162200962,3.650805007706298,431.3590272957665,64872.0,0.0,50597986.304000005,47369420.8,71.53405405405405,,,,,,,,,,,,2.961,6.750349999999996,13.86785999999999,13.012639145894394,26.085022515065038,129662976.0,982.8,18.816499999999994,11.453999999999994,,
vapor_spike_rep5,vapor,spike,5,swift,0,0,151.1092128753662,152.9959180355072,2026-09-23T04:11:02,32474.0,200.0,0.0,64958.0,891,0,450.0,,,55140352.0,970.74,4.326,13.541,38.34968999999996,78.574,2.6301930584715336,7.773208241396646,13.912195379350633,3.516326489701038,431.2844416050143,64948.0,0.0,49798971.392000005,47819259.904,72.73513513513514,,,,,,,,,,,,3.004,6.0175,12.968900000000033,13.024832810255042,27.45918791551597,128352256.0,982.8,16.528699999999997,10.733399999999994,,
boot-t200_stress_rep1,boot-t200,stress,1,java,0,0,210.90105509757996,220.57905888557434,2026-09-23T00:06:59,2373.0,800.0,55.0,5413.0,189,12,450.0,200.0,20.0,,31.610000000000007,10747.142,33078.77279999999,41351.91912,50300.509,1841.430705614286,21810.55663081517,30000.0,5917.9306194250885,24.46995924946258,5149.0,0.010681685764226064,1151651020.8000002,1103940812.8,149.9842307692308,71670248.0,102118008.0,102236160.0,138412032.0,72.0,0.67,1.0,200.0,0.0,178.0,3172.6989821778943,5.973,2606.9581999999987,7607.710760000008,2.300427319655832,7.472976922374404,245334016.0,40.0,30038.398799999988,,36701.471,
boot-t200_stress_rep2,boot-t200,stress,2,java,0,0,211.01515913009644,221.49093198776245,2026-09-23T00:56:15,2413.0,800.0,51.0,5483.0,192,12,450.0,200.0,20.0,,34.25555555555555,9692.656,34432.19979999998,42875.17077999999,50400.652,1809.0529245625,22273.77319281535,30000.0,5888.179466418931,24.785304841712108,5215.0,0.00977948226270374,1113692569.6,1077726412.8,149.09942307692307,62713752.0,127397320.0,89128960.0,141557760.0,65.0,0.777,1.0,200.0,0.0,180.0,3509.3808761462583,5.902,1937.011549999985,6726.4512500000055,2.3673146697707095,7.732687161188704,251183104.0,37.0,32204.55585,,37262.20599999998,
boot-t200_stress_rep3,boot-t200,stress,3,java,0,0,210.79706192016602,220.69955134391785,2026-09-23T02:48:17,2435.0,800.0,31.0,5506.0,195,13,450.0,200.0,20.0,,31.4,10606.66,33312.767,42594.4796,51895.51,1816.9905321249998,21944.653310468773,30000.0,5806.235298580639,25.017487751773718,5261.0,0.005892415890515111,1178809139.1999998,1126327910.4,149.54346153846151,70105992.0,115318392.0,116391936.0,135266304.0,16.0,0.457,1.0,200.0,0.0,179.0,2972.797323448748,5.4595,1474.7400999999963,6582.552449999997,2.351826860620232,7.049945404644063,252166144.0,40.2,31409.4216,,36131.88274999999,
boot-t200_stress_rep4,boot-t200,stress,4,java,0,0,210.8605990409851,222.38563084602356,2026-09-23T03:35:56,2395.0,800.0,34.0,5468.0,192,15,450.0,200.0,20.0,,31.240000000000002,11128.88,33110.85999999999,42700.7968,50301.443,1892.6724873580247,22187.21836381531,30000.0,5950.461247894477,24.7129029950061,5199.0,0.006539719176764763,1106981683.2,1052717875.2,149.65346153846153,62486276.0,121924064.0,92274688.0,138412032.0,59.0,0.662,1.0,200.0,0.0,179.0,3005.6317809173074,5.093,1201.880399999999,4302.638320000005,2.344041885915624,6.308435031571421,251920384.0,35.4,31088.297849999988,,36106.354999999996,
