scenario,config,config_label,metric,n,median,iqr,q1,q3,ci95_low,ci95_high
stress,boot-t64,"Spring Boot, Tomcat 64",server_throughput_peak_rps,5,36.4000,1.0000,36.2000,37.2000,35.0000,39.0000
stress,boot-t64,"Spring Boot, Tomcat 64",ep_get_users_p95_ms,5,26587.0493,589.2113,26472.3135,27061.5248,26049.2665,30600.3894
stress,boot-t64,"Spring Boot, Tomcat 64",ep_post_users_p95_ms,5,29627.1919,705.1538,29204.1547,29909.3085,28747.1723,32499.1454
stress,boot-vt,"Spring Boot, virtual threads",client_p50_ms,5,4617.7080,388.4325,4399.2160,4787.6485,4318.7060,5686.6120
stress,boot-vt,"Spring Boot, virtual threads",client_p95_ms,5,21990.2962,902.9142,21379.8567,22282.7710,19681.4704,22411.0754
stress,boot-vt,"Spring Boot, virtual threads",client_p99_ms,5,26321.7661,296.9380,26266.2087,26563.1467,22817.1774,27902.0803
stress,boot-vt,"Spring Boot, virtual threads",client_max_ms,5,30535.8410,499.0900,30104.1140,30603.2040,29625.7710,32794.8910
stress,boot-vt,"Spring Boot, virtual threads",server_p50_ms,5,3835.0779,848.3815,3180.7069,4029.0884,2198.6142,5215.8919
stress,boot-vt,"Spring Boot, virtual threads",server_p95_ms,5,22280.3257,703.1443,21835.9643,22539.1086,20188.3255,22716.7496
stress,boot-vt,"Spring Boot, virtual threads",server_p99_ms,5,27398.7995,376.7970,27105.7989,27482.5959,22668.9825,28170.0909
stress,boot-vt,"Spring Boot, virtual threads",server_mean_ms,5,6550.9847,174.5349,6405.2858,6579.8207,5671.4196,7047.9496
stress,boot-vt,"Spring Boot, virtual threads",throughput_rps,5,47.3447,2.0897,46.0662,48.1559,45.4696,48.6515
stress,boot-vt,"Spring Boot, virtual threads",requests_total,5,9725.0000,416.0000,9430.0000,9846.0000,9349.0000,9907.0000
stress,boot-vt,"Spring Boot, virtual threads",error_rate,5,0.0001,0.0002,0.0000,0.0002,0.0000,0.0002
stress,boot-vt,"Spring Boot, virtual threads",rss_peak_bytes,5,1347420160.0000,148792934.4000,1319108608.0000,1467901542.4000,1299605094.4000,1515821465.6000
stress,boot-vt,"Spring Boot, virtual threads",rss_steady_bytes,5,1132566937.6000,46032486.4000,1120088883.2000,1166121369.6000,1095132774.4000,1213097574.4000
stress,boot-vt,"Spring Boot, virtual threads",cpu_mean_percent_of_one_core,5,145.1600,0.3706,145.1316,145.5022,144.5702,147.9325
stress,boot-vt,"Spring Boot, virtual threads",jvm_heap_used_steady_bytes,5,72724128.0000,4243372.0000,69674588.0000,73917960.0000,65722144.0000,74013172.0000
stress,boot-vt,"Spring Boot, virtual threads",jvm_heap_used_peak_bytes,5,361209464.0000,33993696.0000,340322968.0000,374316664.0000,297246328.0000,456105592.0000
stress,boot-vt,"Spring Boot, virtual threads",jvm_heap_committed_steady_bytes,5,112197632.0000,11534336.0000,102760448.0000,114294784.0000,94371840.0000,134217728.0000
stress,boot-vt,"Spring Boot, virtual threads",jvm_heap_committed_peak_bytes,5,414187520.0000,112197632.0000,384827392.0000,497025024.0000,361758720.0000,550502400.0000
stress,boot-vt,"Spring Boot, virtual threads",gc_pause_count,5,147.0000,102.0000,71.0000,173.0000,61.0000,202.0000
stress,boot-vt,"Spring Boot, virtual threads",gc_pause_total_seconds,5,1.1060,0.5180,0.7060,1.2240,0.6870,1.2260
stress,boot-vt,"Spring Boot, virtual threads",db_pool_pending_median,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stress,boot-vt,"Spring Boot, virtual threads",db_pool_pending_peak,5,769.0000,4.0000,765.0000,769.0000,765.0000,770.0000
stress,boot-vt,"Spring Boot, virtual threads",db_pool_active_peak,5,20.0000,0.0000,20.0000,20.0000,20.0000,20.0000
stress,boot-vt,"Spring Boot, virtual threads",db_wait_mean_ms,5,6609.7057,89.0444,6574.3830,6663.4274,5902.3223,7111.3858
stress,boot-vt,"Spring Boot, virtual threads",probe_p50_ms,5,4.3360,0.2105,4.2505,4.4610,4.0210,5.3480
stress,boot-vt,"Spring Boot, virtual threads",probe_p95_ms,5,4113.0425,712.4778,3546.0042,4258.4820,3167.3588,4389.7688
stress,boot-vt,"Spring Boot, virtual threads",probe_p99_ms,5,7541.7978,711.3374,7126.2026,7837.5400,5848.5094,8877.7956
stress,boot-vt,"Spring Boot, virtual threads",k6_cpu_mean_percent_of_one_core,5,2.4669,0.1233,2.4545,2.5778,2.3728,2.5976
stress,boot-vt,"Spring Boot, virtual threads",k6_cpu_peak_percent_of_one_core,5,8.8027,1.5193,7.5050,9.0244,6.5588,10.6687
stress,boot-vt,"Spring Boot, virtual threads",k6_rss_peak_bytes,5,259391488.0000,4521984.0000,257867776.0000,262389760.0000,251609088.0000,262553600.0000
stress,boot-vt,"Spring Boot, virtual threads",server_throughput_peak_rps,5,605.0000,431.8000,186.8000,618.6000,101.0000,793.4000
stress,boot-vt,"Spring Boot, virtual threads",ep_get_users_p95_ms,5,20318.8405,394.4520,20199.2315,20593.6835,19221.2229,20911.9653
stress,boot-vt,"Spring Boot, virtual threads",ep_post_users_p95_ms,5,23253.9521,1841.2993,21791.5126,23632.8119,19909.7585,23989.2342
spike,vapor,Vapor,client_p50_ms,5,4.3230,0.0330,4.2930,4.3260,4.2760,4.5560
spike,vapor,Vapor,client_p95_ms,5,14.7289,1.7950,13.7382,15.5332,13.5410,15.8665
spike,vapor,Vapor,client_p99_ms,5,40.2733,3.3203,38.3497,41.6700,31.1904,43.0537
spike,vapor,Vapor,client_max_ms,5,97.0440,41.0650,86.3670,127.4320,78.5740,149.5710
spike,vapor,Vapor,server_p50_ms,5,2.6267,0.0115,2.6187,2.6302,2.5811,2.6990
spike,vapor,Vapor,server_p95_ms,5,8.3813,0.7344,8.0276,8.7620,7.7732,9.0507
spike,vapor,Vapor,server_p99_ms,5,18.8424,5.5790,14.6845,20.2635,13.9122,22.0452
spike,vapor,Vapor,server_mean_ms,5,3.6508,0.2489,3.5261,3.7749,3.5163,3.8791
spike,vapor,Vapor,throughput_rps,5,431.2844,0.3911,430.9679,431.3590,430.4486,432.0110
spike,vapor,Vapor,requests_total,5,64872.0000,92.0000,64856.0000,64948.0000,64710.0000,64956.0000
spike,vapor,Vapor,error_rate,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
spike,vapor,Vapor,rss_peak_bytes,5,50165972.9920,572522.4960,50025463.8080,50597986.3040,49798971.3920,50794070.0160
spike,vapor,Vapor,rss_steady_bytes,5,47819259.9040,392167.4240,47634710.5280,48026877.9520,47369420.8000,48375005.1840
spike,vapor,Vapor,cpu_mean_percent_of_one_core,5,71.5341,0.3884,71.4676,71.8559,69.8250,72.7351
spike,vapor,Vapor,probe_p50_ms,5,3.0040,0.0430,2.9940,3.0370,2.9610,3.0655
spike,vapor,Vapor,probe_p95_ms,5,6.7503,0.6010,6.1785,6.7795,6.0175,7.2624
spike,vapor,Vapor,probe_p99_ms,5,12.3096,1.2972,11.6717,12.9689,11.6221,13.8679
spike,vapor,Vapor,k6_cpu_mean_percent_of_one_core,5,12.9714,0.1796,12.8330,13.0126,12.4610,13.0248
